State,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99
AL,329598,2393192,181427,70,304441,534396,1547,734105,117112,546384,4225,0,78166,21311,189345,20920,14233,58178,0,3206583,406408,8,36668,115437,0
AK,128076,0,39078,9205,62292,42467,0,4230,72004,28420,1905,0,0,27833,59497,0,840,43060,8812,0,408938,0,0,2456212,0
AZ,823508,5994048,71136,533,448115,779970,216,21760,311811,132036,5246,0,10368,32787,198227,30215,25986,131360,2938,3462413,575180,0,0,26190,0
AR,1077377,3130274,51618,39660,182092,454909,3090,0,225809,236705,4187,426,27999,23533,153445,17657,9985,129711,1679,2602160,398493,3,32715,108511,24743
CA,2176236,37224077,354297,0,2362738,6063356,13899,663448,833126,2487112,55550,15457,59777,101237,3745377,280038,388443,4269033,7622,67995659,8858498,0,0,38686,76204
CO,0,2615601,40886,105420,239431,647104,609,10819,194192,620232,7212,791,17569,71142,474534,28660,14156,44577,975,5658457,717506,434,0,245087,0
CT,0,3981362,60686,348353,205690,503252,6085,315287,376489,985200,9265,232,27828,5269,211091,43717,676,132703,2243,7772602,627358,147737,173839,0,778
DE,0,0,19616,0,85735,113326,82,59128,114659,87806,1547,328,1002576,2916,51790,5712,0,231407,5461,1040341,278872,1434,72347,0,1086
FL,250,21480910,452370,187639,702340,2422718,10412,2719350,370993,700198,8663,14000,298604,16275,1380910,187182,24569,198483,4554,0,2043750,1710,2109370,49100,0
GA,788350,5125502,181875,0,372122,1006494,0,0,216640,407499,3829,148,48078,24899,337456,91117,0,83662,20755,8965572,943806,0,10698,0,0
HI,0,2825041,48305,0,142051,93598,0,166179,107685,464803,0,0,1691,536,168980,360,21183,29480,1313,1745461,126045,14789,75831,0,0
ID,0,1373666,8780,0,75205,248454,1209,1840,47816,64333,1617,754,2203,34436,135169,9943,53613,74790,3806,1338075,190002,0,0,6004,0
IL,54710,8515410,279587,662592,359240,1293967,6534,1651211,859865,2130103,12626,14972,345889,42936,1623571,116206,16217,469458,34068,16058396,4284646,294138,56552,0,0
IN,8052,7003426,45955,655894,223072,814549,2273,252652,447561,949768,13073,5722,7045,20011,208572,207097,0,46157,82806,4896317,866747,87712,0,2500,0
IA,0,2659231,14187,282713,105532,452596,3962,0,225375,28342,14879,22703,35438,28262,548670,21867,17590,115632,3006,3197578,388699,90791,14786,0,0
KS,81267,2983664,126861,343,198355,441843,0,353,97813,41668,3575,15,63582,23522,212064,19622,5340,65516,2218,2511660,330181,136,0,124883,0
KY,562370,3131157,128534,214,141639,886161,2421,63898,248979,751121,6374,291,100843,26536,190370,16600,0,126113,5098,3749258,674464,45844,3271,241989,0
LA,55363,2923336,56967,675386,429146,588860,4385,9158,130045,298353,0,0,188197,29665,75628,11581,7622,110176,4221,2753680,481212,150,0,862150,0
ME,35755,1191685,17923,50854,106372,240901,1816,32432,136160,133255,5393,654,9343,16282,102306,10064,0,101562,8647,1414110,182928,23962,24777,0,0
MD,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806
MA,3433,5518580,78817,3758,346828,732207,337,23736,660029,568738,3056,762,25972,5456,390879,105322,0,317250,163860,13246221,2194620,401512,246850,0,197503
MI,1919910,8419195,143641,106903,362397,964119,4252,28412,942148,1338497,16540,0,22621,58440,979061,54695,27357,164127,188854,7874712,881011,177,233416,73488,0
MN,836743,5441934,81328,44705,403280,893351,492,51,581872,2312333,2211,1211,7382,59156,695796,43544,284,440372,64507,9528454,1315762,165159,166912,42062,0
MS,25103,3304632,42402,127777,263809,409836,0,4384,146050,406065,2945,18619,182624,17862,154677,40086,3212,100025,39168,1667344,526302,9,0,91059,525
MO,29725,3285563,35760,361046,302166,696458,0,0,99527,134690,5308,1980,59421,32740,272542,15829,20118,134644,21892,5361976,357724,129,11340,5,74
MT,268508,0,30053,56900,88106,196965,21,47390,85404,45415,3215,8512,3311,45606,136787,8042,12,98851,9935,1063261,150139,4,0,305614,3502
NE,143,1763695,30258,5342,42746,335153,143,53009,63425,10181,1475,1290,2123,13576,92600,6062,0,9619,0,2124164,306591,0,9044,6762,0
NV,258600,3828869,42917,947290,264522,296649,0,22636,102116,209198,0,95717,66665,10496,166067,26517,0,239476,3437,0,0,50,64712,111395,385840
NH,383126,0,9545,444,84518,146101,827,69877,215012,350711,4306,244,50783,9804,94395,12125,9081,91654,7619,92743,542847,0,106745,0,0
NJ,6705,8885847,139438,219000,599169,539155,0,1012028,740605,616609,3965,49618,275705,13206,617428,53016,6765,495599,1396,11973673,2368068,685459,376772,0,0
NM,105637,2098676,44968,70226,99832,234881,596,29894,81272,139530,0,373,24464,24655,188156,3671,1151,39912,0,1297493,205702,0,0,1066343,0
NY,0,12668587,250926,996,1345394,1630358,21420,929929,1446184,5250995,64576,50,63488,51775,1357553,145500,24165,176275,1459,42964774,4861687,1238320,1037341,0,1447230
NC,0,5842182,343344,14157,476376,1915670,0,403194,281773,701788,15916,0,617408,17488,591457,111132,0,233463,13194,10390520,1360628,19932,45353,1776,0
ND,3026,1320196,9220,3620,51047,228022,1159,40411,31262,163193,367,801,0,14814,119312,5289,6,86656,0,498528,250438,15,0,3293053,0
OH,0,10217826,98397,273393,510345,1839594,5024,1125461,815532,732348,41327,16209,1026121,38428,725263,82388,29523,940646,28371,8424843,0,39392,0,10194,0
OK,0,2599203,110941,20823,294762,450807,1113,46306,292752,172651,1326,146857,35351,19910,754435,20109,947,78572,261,2962128,397290,1056,16296,679406,0
OR,21740,0,17627,0,85196,512342,2253,85401,257583,484140,4609,812,29471,54100,514003,41484,14061,295379,6858,6649418,495134,85491,3114,23424,0
PA,45017,9497906,346008,1400232,773462,2231348,11758,1284892,1028006,845817,16952,12157,229686,74679,837823,54847,75269,981965,19556,10809736,2301589,849194,438984,0,25986
RI,2591,915468,16803,0,85801,95828,1147,105296,134805,211043,174,223,4875,1748,69349,4988,0,46827,3962,1088405,120112,38899,17631,0,0
SC,21664,3370643,162313,38481,214600,529655,0,28450,25632,258589,11382,1371,95139,17541,214192,8813,10144,96472,16808,3422532,327809,0,60334,0,0
SD,0,914979,16205,8885,77374,138087,461,3709,61811,75237,840,6980,4688,27781,76143,3773,0,135841,21741,0,24819,0,192,8950,0
TN,0,6192281,147812,0,749470,845395,0,6840,261101,555186,1317,376,676478,32959,269317,47194,5840,293122,8789,239219,1176971,107341,167055,2487,19779
TX,0,32336032,1066512,29659,1886289,3325916,7356,768000,1446144,4880690,71661,20664,124996,104390,2177571,139337,28080,668807,164396,0,0,0,0,6014350,0
UT,0,1823355,48413,0,113316,372935,0,24319,113184,186578,1936,0,484,28720,175679,15733,0,53264,1008,2889912,307910,0,0,155743,0
VT,985478,354541,24065,0,60020,103551,0,21791,71854,379138,430,36,3276,7319,70398,7795,0,18869,1873,675240,105817,35542,30931,0,4567
VA,35561,3555745,207672,70,459993,694833,0,107394,180733,856742,12756,101,59245,27983,451215,40370,0,199707,4138,10877689,740511,196,310205,2165,124248
WA,1974354,11767488,321412,0,467351,1156242,1510,497993,443185,555083,153263,5699,32335,44906,535636,102924,18689,294448,227060,0,0,157286,649085,41950,0
WV,0,1221966,17295,50465,155021,441096,2312,153588,101779,417471,1380,3352,5424,12599,2539,108409,369,11622,7060,1770466,203508,0,10392,681824,0
WI,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802
WY,300096,765543,1828,0,25310,100889,385,4638,24490,2674,0,0,13378,34371,71954,2217,0,26172,0,0,0,0,0,883025,6417
